pair_id,job_title,full_job_description,full_resume_text,gold_standard_pct,ai_score_pct,error_margin
74,Real Estate Agent - Training Provided,"are you a licensed real estate agent or looking to begin your dream career in real estate

we are looking for selfmotivated customeroriented and ambitious sales agents to join us we want to help you build your career this rewarding position provides agents with a fantastic opportunity to do what they love which is helping clients find and buy the home of their dreams

we provide you with the support mentorship guidance education and training you need not only to start but to flourish if you are interested in making more money having a flexible schedule and working in a fun inviting atmosphere then you should apply today

key skills
 excellent problemsolving and communication skills
 negotiation and presentation skills are key
 knowledge of or willingness to learn the local real estate market and purchase process honesty and integrity
 experience using basic software and technology and show a willingness to adapt and learn new systems

benefits
 flexible hours and days you choose your s","Education Details 
 BA   mumbai University
HR 


Skill Details 
Hr Operations- Exprience - Less than 1 year monthsCompany Details 
company - Mumbai Monorail
description - ",26,19,7
75,"Litigation - General/Commercial Attorney in Brooklyn, NY",litigation attorney the candidate must have  years of experience in at least one of these areas estate planning estate administration civil litigation real estate or elder law must also have the ability to handle all stages of litigation from inception through trial litigation will consist of supreme court and surrogates court proceedings in addition to experience must have strong interpersonal skills and be able to adapt to a fastpaced environment and challenging case load,"Education Details 
May 1999 to September 2002 Diploma Mechanical Engg Mumbai, Maharashtra Institute of Mechanical Engg
May 1998 to May 1999 Diploma Mechanical Engg. Services  ITES
May 1993 to May 1995   Mumbai, Maharashtra Industrial Training Institute
Sr. Executive-Mechanical Engineering- Automation & Projects Consultant 

Sr. Executive-Mechanical Engineering- Automation & Projects Consultant - Mechanical Engineering
Skill Details 
Microsoft Office -Word ,Excel,Auto cad,Micro station J ERP 3d Modeling software- Exprience - 120 monthsCompany Details 
company - Mechanical Engineering
description - Role & Responsibilities: - Application Engineering / Pre Sales & Inside Sales â¢ Provide applications support to inside sales personnel and outside sales channels, Provide product selection and materials of construction technical recommendations.
â¢ Participate in the necessary training activities to establish technical competency & also Participate in Field Service trips as directed by Top ",18,10,8
76,"K-12 Director of Educational Partnerships, Northeast - Remote #1931","are you interested in driving growth in the northeast for a leading education company that is focused on empowering teachers and inspiring students

agile mind believes that every student regardless of their zip code deserves a rigorous highquality math and science education they empower teachers by creating compelling classroom experiences that engage inspire and fuel student growth knowing that teachers are asked to do more today than ever before agile mind is committed to giving teachers the tools resources and support they need to recapture the joy of helping all students master math and science learning

agile mind is seeking an inspiring and experienced director of education partnerships to support their continued achievement of this vision in the northeast

reporting to the regional vp of sales this role will be responsible for increased revenue growth throughout the territory through the acquisition of new partnerships and the expansion of existing partnerships the ideal candid","KEY SKILLS: Programing languages: C, C++, Python, Apex, Visualforce, Database: Mysql, Framework: Django, Technologies: Salesforce.com (Administration and development), Force.com, Salesforce CRM, Blockchain Website Designing: HTML5, CSS3, Project: DIPLOMA: Project Name: VANET-virtual Ad - Hoc Network Technology Used: Java. About Project: A system has been made for Video-streaming. In this project, we give the Real, time video-steaming on two or more devices using VANET AP DEGREE: Project Name: Drowsiness Detection System Technology Used: python, Raspberry pi. About project: A system has been made for Driver safety when parson driving car. It detects Drowsy condition of a parson then system brings the alarm.Education Details 
January 2017 B.E Computer Engineering Pune, Maharashtra Sanghavi College of Engineering
January 2014 Diploma Computer Technology Nashik, Maharashtra Shree Mahavir Polytechnic
January 2010 S.S.C.  Nashik, Maharashtra C.D.O.Meri High school
BlockChain Developer 


Ski",24,26,2
77,"Vice President, Operations","vice president operations

new albany ohio

brightview enterprise solutions

looking for an opportunity where success comes naturally then you may have found your crew were looking for a vice president operations to join our team

heres what youd do

the vice president operations will work with the senior leadership team to ensure daytoday operations function efficiently to achieve short and long term objectives the vice president operations will need to understand the business structure and culture have a working knowledge of all work processes and systems envision company goals as well as play a key role in defining the strategy ensure that systems are operating efficiently and deliver high quality services while reducing operating overhead as a member of the bes leadership team the vice president operations will work with each department to accomplish company goals and objectives

youd be responsible for
 work with senior leadership team within the bes business unit to develop and i","Training attended: 1. Successfully completed ESD program conducted by Zensar Technologies, Pune in 2017. 2. Successfully completed Employability training conducted by Barclays, Global Talent Track, and NASSCOM foundation in 2015. Achievements: 1. Treasurer in IEEE student branch at JSCOE, Pune for 2017-18. 2. Worked as team leader in collegeâs various technical and cultural events from 2016 - 2017. 3. Project idea got selected for final prototyping round in KPIT-Sparkle 2018, Pune. 4. Participated in Avishkar 2017 conducted by Savitribai Phule Pune University. 5. Project idea submitted in Accenture Innovation 2018, Pune. 6. Brought sponsorship of Rs. 15,000 from Platinum Auto (formerly Royal Enfield) in 2017, Pune. 7. Secured 1 st Rank for college level competition of Poster presentation on Smart ambulance in 2017, Pune. 8. Organized IEEE workshop on âExcellence in English and Public Speakingâ in 2017, Pune Workshops attended: 1. Successfully completed 4 daysâ workshop on âMe",22,19,3
78,Customer Service Representative - (1st Shift) - Remote,"donnelley financial solutions dfin is a leader in risk and compliance solutions providing insightful technology industry expertise and data insights to clients across the globe were here to help you make smarter decisions with insightful technology industry expertise and data insights at every stage of your business and investment lifecycles as markets fluctuate regulations evolve and technology advances were there and through it all we deliver confidence with the right solutions in moments that matter
summary
assist clients with online filings through our saas platforms primarily activedisclosure maintain positive customer relations through active engagement of the customer through all stages of the filing
responsibilities
 continual training of clients to help them efficiently use our saas tools to achieve their filing andor collaborative objectives
 may be responsible for researching and compiling all required data elements including xbrl needed to prepare the appropriate electronic","TECHNICAL PROFICIENCIES Platform: Ubuntu/Fedora/Cent OS/Windows Database: MySQL Languages: Python, Tensorflow, Numpy, C, C++ Education Details 
January 2016 ME Computer Engineering Pune, Maharashtra Savitribai Phule Pune University
January 2014 B.E Computer Engineering Pune, Maharashtra Savitribai Phule Pune University
January 2010    RYK Science College, Maharashtra state board
January 2008    Maharashtra state board
Python developer 

Python Developer
Skill Details 
C++- Exprience - 6 months
MYSQL- Exprience - 6 months
PYTHON- Exprience - 6 monthsCompany Details 
company - Fresher
description - Python programming",22,30,8
79,Senior Vice President of Property Management,"let us tell you about this position

equity ecs is a full service commercial real estate firm our comprehensive platform includes development construction brokerage program management and property management services that are tailored to provide solutions to each clients needs as svp property management you are responsible to oversee the operation of the portfolio of commercial properties and the property management team across all regions this position is responsible for supporting and executing the company strategies on new business related to property management you direct team members on assigned portfolio implementing policies procedures and practices to ensure each property meets and exceeds budgeted financial goals and achieves operational performance objectives equity ecs has offices in columbus cincinnati dayton chicago atlanta austin san antonio orlando and tampa

what are the key objectives

partner with executive leaders to plan business objectives develop organizational po","Education Details 

Hadoop Developer 

Hadoop Developer - INFOSYS
Skill Details 
Company Details 
company - INFOSYS
description - Project Description: The banking information had stored the data in different data ware house systems for each department but it becomes difficult for the organization to manage the data and to perform some analytics on the past data, so it is combined them into a single global repository in Hadoop for analysis.

Responsibilities:
â¢       Analyze the banking rates data set.
â¢       Create specification document.
â¢       Provide effort estimation.
â¢       Develop SPARK Scala, SPARK SQL Programs using Eclipse IDE on Windows/Linux environment.
â¢       Create KPI's test scenarios, test cases, test result document.
â¢       Test the Scala programs in Linux Spark Standalone mode.
â¢       setup multi cluster on AWS, deploy the Spark Scala programs
â¢       Provided solution using Hadoop ecosystem - HDFS, MapReduce, Pig, Hive, HBase, and Zookeeper.
â¢",23,16,7
80,Member Health Advocate ~ remote,"lets do great things together

founded in oregon in  moda is proud to be a company of real people committed to quality today like then were focused on building a better future for healthcare that starts by offering outstanding coverage to our members compassionate support to our community and comprehensive benefits to our employees it keeps going by connecting with neighbors to create healthy spaces and places together

moda values diversity and inclusion in our workplace we aim to demonstrate our commitment to diversity through all our business practices and invite applications from candidates that share our commitment to this diversity our diverse experiences and perspectives help us become a stronger organization lets be better together

moda health is seeking a member health advocate i the member health advocate mha is a nonclinical position that assists supervisors health coaches behavioral health case management and other internal teams in supporting members with preventive care ","IT SKILLS Languages: C (Basic), JAVA (Basic) Web Technologies: HTML5, CSS3, Bootstrap, JavaScript, jQuery, Corel Draw, Photoshop, Illustrator Databases: MySQL5.0 IDE & Tools: Sublime Text, Notepad Operating Systems: Windows XP, Windows 7Education Details 
September 2015 Bachelor of Engineer Information technology Nagpur, Maharashtra Nagpur University
May 2011 HSC Secondary & Higher Secondary  State Board of Secondary
June 2009 SSC Secondary & Higher Secondary  Maharashtra State Board of Secondary
Web and Graphics Designer 

Web and Graphics Designer - Virtuous Media Point, Pune
Skill Details 
BOOTSTRAP- Exprience - 24 months
HTML5- Exprience - 24 months
JAVASCRIPT- Exprience - 24 months
jQuery- Exprience - 24 months
COREL DRAW- Exprience - 24 months
Adobe Photoshop- Exprience - 24 months
Adobe Illustrator- Exprience - 12 months
CSS3- Exprience - 24 monthsCompany Details 
company - Virtuous Media Point
description - 
company - CNC Web World
description - Internship Program: At e-sense I",15,10,5
81,Marketing Intern,"the candidate would be responsible for assisting social media marketing content creation newsletter writing market research advertising

 marketing or business major
 experience with social media
 excellent communication skills
 driven
 eager to learn
 passionate about travel","I Other Skills Course/Skill Name Board Year Of Passing Grade Intermediate Grade Drawing Art Examination Committee, 2011 B Examination Maharashtra State I Academic Programme Detail National Service Scheme (Camp): - Sponsored By Government of India Ministry Of Youth Affairs And Sports, New Delhi & North Maharashtra University, Jalgaon. I Strengths â¢ Ability to Learn From Mistakes. * Honesty â¢ Ready to accept challenges and responsibilities. * Quick learning, adaptability, confidence. I Declaration I /201 Your faithfully, Pia .. . . ( Jetalal Hiralal Gorbanjara)Education Details 
May 2010 HSC  Nashik, Maharashtra State Board
June 2008 SSC  Nashik, Maharashtra State Board
Asst.Professor 

Asst.Professor
Skill Details 
Company Details 
company - Kisan Arts
description - - Total Work Experience ( In Months)
Sr.       Name of Organization / College        Designation              Working Period          Total Experience
No.		( In Months)
From            To
1.        Kisan Arts, Commerce &",23,25,2
82,Investigator 1G,"this is a county position in maryland i am recommending because i know you are willing to relocate and this is an entrylevel investigation position
_____________________________



investigator 
    
apply
salary 
   annually
location 
upper marlboro md
job type
ltgf ft with bn
department
office of the sheriff
job number

closing
  pm eastern

descriptionbenefitsnature and variety of work
come join our team located minutes from downtown washington dc prince georges is the perfect familyfriendly community to live work and play in
    we are prince georges proud  
 
located in the heart of the baltimorewashington corridor prince georges county borders washington dc and is just  miles south of the city of baltimore encompassing almost  square miles with over  residents prince georges county has an urban atmosphere that still manages to provide a scenic and peaceful place to live work and play
 

the office of the sheriff is seeking qualified applicants to fill an investigator  position
 t","CORE COMPETENCIES ~ Ant ~ Maven ~ GIT ~ Bitbucket ~ Jenkins ~ Linux ~ Ansible ~ Shell Scripting ~Requirement Gathering ~Continuous Integration and Continuous Deployment ~ Software Development Life Cycle ~ Software Testing Life Cycle ~ Documentation & Reporting ~ Test Reports IT SKILLS â¢ Primary Skills: Dev-ops methodologies â¢ Programming Languages: C, Core Java â¢ Version Controls: GIT, Bitbucket â¢ Build Tools: ANT, Maven â¢ CI/CD Tools: Jenkins â¢ Configuration management: Ansible â¢ Scripting: Shell Script â¢ Application Servers: Apache Tomcat serverEducation Details 
June 2015 to June 2017 Masters of science information technology Hyderabad, Telangana JNTU
Devops Engineer 

Devops Engineer - Nendrasys Technologies Pvt Ltd
Skill Details 
DEPLOYMENT- Exprience - 27 months
Git- Exprience - 27 months
DOCUMENTATION- Exprience - 26 months
CHANGE MANAGEMENT- Exprience - 10 months
CONFIGURATION MANAGEMENT- Exprience - 10 monthsCompany Details 
company - Nendrasys Technologies Pvt",14,14,0
83,"Vice President, Marketing, MSNBC","responsibilities
the vice president marketing msnbc is the daytoday marketing lead for msnbc working in the nbc news and msnbc marketing department as part of the nbcuniversal news group the vp marketing collaborates with msnbc editorial leadership to expand the brand and our content offering to reach news consumers wherever theyre consuming news this includes assisting in the visioning development and marketing of msnbc product extensions that go beyond television such as msnbc digital products including msnbccom and msnbc daily the msnbc daily newsletter msnbcs presence on the nbcu streaming service  peacock audio including podcasts showcasts and msnbc on sirius xm radio and collaborating with the msnbc social lead and individual show social leads on social accounts the vp marketing msnbc is responsible for articulating and evolving the msnbc brand promise and helping to ensure that msnbcbranded products live into that promise at every touchpoint

the successful candidate has excepti","Education Details 
June 2012 to May 2015 B.A Economics Chennai, Tamil Nadu Sdnbvc
Hr 


Skill Details 
Company Details 
company - Anything IT Solution
description - Hr",14,10,4
84,"Real Estate Sales Agent (Draw + Commission) Remote - Cleveland, OH","wfh work from home remote licensed real estate agent position

week draw

 commission per sign up

are you a licensed real estate agent with a sales background do you enjoy getting paid on commission are you comfortable making  calls daily from home we are looking for enthusiastic real estate salesperson

agents are paid for each homeowner signed up to our exclusive right to sell program by offering homeowners a cash incentive you will get  commission for every homeowner you sign quality leads are provided to licensed real estate agents make commission before a home is listed or sold in addition to this program you will get  commission split for any personal deals

responsibilities
licensed real estate agent will call leads provided through crm
make minimum of  sales calls daily and followup on leads manage and document your leads
agents with a sales background sign up  homeowners a month month
no cap on commission

qualifications and skills
must have ohio real estate license
knowledge","Areas of Interest Deep Learning, Control System Design, Programming in-Python, Electric Machinery, Web Development, Analytics Technical Activities q Hindustan Aeronautics Limited, Bangalore - For 4 weeks under the guidance of Mr. Satish, Senior Engineer in the hangar of Mirage 2000 fighter aircraft Technical Skills Programming Matlab, Python and Java, LabView, Python WebFrameWork-Django, Flask, LTSPICE-intermediate Languages and and MIPOWER-intermediate, Github (GitBash), Jupyter Notebook, Xampp, MySQL-Basics, Python Software Packages Interpreters-Anaconda, Python2, Python3, Pycharm, Java IDE-Eclipse Operating Systems Windows, Ubuntu, Debian-Kali Linux Education Details 
January 2019 B.Tech. Electrical and Electronics Engineering  Manipal Institute of Technology
January 2015    DEEKSHA CENTER
January 2013    Little Flower Public School
August 2000    Manipal Academy of Higher
DATA SCIENCE 

DATA SCIENCE AND ELECTRICAL ENTHUSIAST
Skill Details 
Data Analysis- Exprience - Less than 1 yea",26,30,4
85,Contracting Project Management Intern,"  contracting project management intern
 requisition  
 attrane technologiestm and through our businesses includingtraneandthermo king we create innovative climate solutions for buildings homes and transportation that challenge whats possible for a sustainable world
 were a team that dares to look at the worlds challenges and see impactful possibilities
 we believe in a better future when we uplift others and enable our people to thrive at work and at home
 as a contracting project manager you will work on all aspects of construction projects from beginning to end with responsibility for project execution while working with a team to complete objectives in a given time frame and with available resources
 you will also be responsible for the administration implementation and management of projects and accountable for assigned scope of work schedule and budget
 in particular you will enable trane technologies to focus on solutions that provide our customers with the most energy efficient","Education Details 
 Bachelor's   
 Bachelor's Commerce India Guru Nanak high school
Sales Manager 


Skill Details 
Data Entry- Exprience - Less than 1 year months
Cold Calling- Exprience - Less than 1 year months
Sales- Exprience - Less than 1 year months
Salesforce- Exprience - Less than 1 year months
MS Office- Exprience - Less than 1 year monthsCompany Details 
company - Emperor Honda
description - 
company - Honda cars india Ltd
description - 1. Worked as an Asm at Maruti dealership for 10 years
2. Currently working as Manager sales in Honda car dealership from last 5 years
3. Good sportsmen represent my college in various cricket  tournaments
4. Lead Nagpur university cricket team also 
5. Searching job in car dealership or cricket academy",23,22,1
86,Part-time Bank Teller/Financial Services Representative,"citizens bank  trust has an opening for a parttime financial services representative in kansas city mo northland the candidate selected will be responsible for assessing and handling customers banking needs and transactions while crossselling products and services that meet their financial needs if you have strong communication skills customer service and cash handling experience you are invited to apply for one of the positions competitive salary and benefits

equal opportunity employer veteransdisabled

basic qualifications

high school degree or equivalent education

minimum  years of retail experience

cash handling experience

ability to sell bank products and process transactions

strong customer service skills

ability to multitask

available to work a flexible schedule

preferred skillsexperience

excellent problem resolution ability

knowledge of banking operations

understanding of sales and new business development

excellent verbal and written communication skills

sales in","Skill Set â¢ Experience in Implementing, and troubleshooting network security solutions â¢ Planning and Implementation knowledge of multi vendor firewalls (Cisco ASA, Checkpoint (Upto R.80) Juniper/Netscreen, Fortinet, FWSM) â¢ Familiarity with the latest hardware and network security technologies â¢ Excellent analytical and problem solving skills â¢ Skilled in analyzing and monitoring network security solutions using a variety of Monitoring solutions (Zenoss, Solarwinds, Cisco Prime) â¢ Work Experience on multi client data center environments. â¢ Knowledge and Work experience on Firewall IOS Upgrade projects â¢ Configuration of F5 load balancers, SSL certificate updates, I-Rule. F5 upgrades â¢ Configuration of Cisco Routers ( series- 1800, 1900, 2500, 2600, 2800, 3600, Nexus - 5k, 7k) â¢ Configuration of Cisco switches (series - 2960, 3750, catalyst, 4500, 3600) â¢ Working knowledge of Bluecoat Proxy â¢ Knowledge of ITIL process.Education Details 
September 2006 to August ",42,51,9
87,Supply Chain Analyst IV,"supply chain analyst iv

location houston tx

key accountabilities
interprets date analyzes results using statistical techniques and provides ongoing reports including but not limited to
 gathering and analyzing company spend supply market data and other related commercial information to drive value from supply chain activities and develop sourcingnegotiation strategies
 building shouldcost and total cost of ownership economic models for materials and services
 providing analytical support for category sourcing initiatives contract negotiations and bid evaluations
 monitoring and evaluating supply risks
 supporting the supplier performance management process
 developing tools and processes in sap microsoft excel and spotfire to improve the efficiency of analytical work
 compliance with company policy and industry regulations

required and preferred skills and experience
 senior level typically  years of experience
 understands advanced aspects of discipline and is viewed as an expert i","Education Details 
August 2018 to January 2021 Entermediate Maths Mumbai, Maharashtra Sunbeam academy , samne ghat , varanasi
Martial arts (fitness job) 


Skill Details 
Company Details 
company - Sports Authority
description - I am 2nd dan black belt in karate (martial arts)
I am in a searching of personal trainer job for fitness.
I won 3 gold medals in national karate championship.
I won 7 gold medals in state karate championship.
3 times best player of the year of uttar pradesh award ..
Represented india and Selected for world karate championship held at Croatia , Europe.
â¢",33,29,4
88,Human Resources Manager,"about the role

as a human resources manager for tql you will be the hr pointofcontact for a designated group of teams across the country our hr team is obsessed with the wellbeing of our people and thrive on building trusting relationships with their internal customers we can promise no day will be the same here and youll have the opportunity to be a strategic partner for employees and leadership while contributing to the continued growth of tql

whats in it for you
 competitive compensation benefits and bonus package
 biannual bonus opportunity
 paid relocation to tql headquarters cincinnati oh
 join a growing team within a robust and innovative hr department
 lead all things hr for a select region of a  organization
 we win wherever we go  voted a top workplaces usa   and forbes americas best employers 

what youll be doing
 partner with sales marketing and support leadership to assist with organizational policies employeerelations issues and compliance with federal state and local ","COMPUTER KNOWLEDGE â¢ Drafting tools: AutoCAD. â¢ Packages: MS Office Applications â¢ Operating systems: Windows 9x/2000/XP/Vista. DETAILEXPERIENCES Experience in India: 1) Working Experience at ALIA CONSTRUCTION AT NALLASOPARA (WEST) Mumbai since JUNE 2014 to MAY 2015. As a Civil Engineer (1 years) Project handle: Project title: YASHWANT ORICHIDS Position: Site Engineer Location: Nallasopara (W) Mumbai Maharashtra - 400097 IndiaEducation Details 
 S.S.C Rajasthan board  excellence polytechnic college
CIVIL ENGINEER 

CIVIL ENGINEER - Site Encharge
Skill Details 
AutoCAD.- Exprience - 9 months
Civil Engineer- Exprience - 42 months
Drafting- Exprience - 9 months
Engineer- Exprience - 42 months
MS Office- Exprience - 9 monthsCompany Details 
company - Site Encharge
description - Location: Andheri (E) Marol Bus Depot, near Maruti High School, MIDC
Mumbai Maharashtra 400093 India

Experience in UAE:
1) Currently Working at NOVA ENGINEERING WORKS Since MAY 2018 to TILL DATE as a CIVIL EN",22,29,7
89,"Furniture Sales Associates - Bridgewater, N.J.","are you enthusiastic and passionate about helping people do you love to provide excellent customer service are you ready for career advancement we want to hear from you fortunoff backyard store has a passion for people and our commitment to our employees allow us to offer an environment that is conducive to both professional and personal success we are a highly successful organization as a result of our commitment to hire and retain highly energetic and motivated sales professionals who perform

our company is seeking energetic goaldriven sales professionals who appreciate working in a fun friendly and dynamic furniture retail environment while earning a generous income

fortunoff backyard store is  years old and we look better than ever the fortunoff backyard store has a worldclass company culture that you can experience with us our compensation and benefits are exemplary as well as our outlook on worklife balance additionally we provide performancebased promotions we are strong and c","Computer Skills: â¢ Proficient in MS office (Word, Basic Excel, Power point) Strength: â¢ Hard working, Loyalty & Creativity â¢ Self-motivated, Responsible & Initiative â¢ Good people management skill & positive attitude. â¢ knowledge of windows, Internet.Education Details 
 Bachelor of Electrical Engineering Electrical Engineering Nashik, Maharashtra Guru Gobind Singh College of Engineering and Research Centre
 Diploma Electrical Engineering Nashik, Maharashtra S. M. E. S. Polytechnic College
Testing Engineer 


Skill Details 
EXCEL- Exprience - 6 months
MS OFFICE- Exprience - 6 months
WORD- Exprience - 6 monthsCompany Details 
company - 
description - Department: Testing

Responsibilities: â¢ To check ACB and VCB of  Circuit Breaker.
â¢ Following test conducted of Circuit Breaker as per drawing.
1. To check breaker timing.
2. To check contact resistance using contact resistance meter (CRM) 3. To check breaker insulation resistance (IR) 4. To check breaker rack out and rack in ",24,28,4
90,Remote Inbound Customer Service Representative,"this job handles customer inquiries by telephone andor email andor in person from individual members groups providers and brokers in a customer service center troubleshoots and resolves customer complaints ensures that responses to inquiries are completed timely and according to established service and quality standards

job requirements
 handle incoming customer service calls
 dispatch incoming customer phone calls
 accept customer calls and return customer
 maintain customer service related information for customer accounts
 ensure quality customer service and customer satisfaction
 maintain customer service voicemail and return customer calls
 provide customers with superior customer service
 provide customer service for internal customers
 capturing customer information and answering customer inquiries
 resolve inbound customer calls regarding account
 take customer orders and provide highquality customer service
 make out going customer service calls
 work with customer service ma","Skills Exceptional communication and networking skills Successful working in a team environment, as well as independently Ability to work under pressure and multi-task Strategies & Campaigns Corporate Communications MIS Reporting & Documentation Training & Development Sales Support & Back Office Operations New Process Development & Launch Handling customer escalationsEducation Details 
 BACHELOR OF BUSINESS ADMINISTRATION BUSINESS ADMINISTRATION  ICFAI Business School
    Integrated Institute Of Management &Technology
    HIGHER SECONDARY SCHOOL, B.I.S.S School
   Delhi, Delhi SENIOR SECONDARY SCHOOL, Delhi Public School
Senior Manager - PMO 


Skill Details 
TRAINING- Exprience - 30 months
DOCUMENTATION- Exprience - 16 months
OPERATIONS- Exprience - 16 months
SALES- Exprience - 8 months
CORPORATE COMMUNICATIONS- Exprience - 6 monthsCompany Details 
company - 
description - Review and understand existing business processes to identify functional requirements to eliminate
waste, improve",41,35,6
91,Live Content Creator (Seasonal),"want your work displayed across major league baseballs social media channels

mlbs marketing department is looking to add innovative content creators to our ballparks around the league candidates must have a strong understanding of baseball and how to best show off the experience at a game from behind a lens for display on league and club social media channels you are our content representative who will cover all things mlbrelated in your corresponding city

this is a parttime seasonal position covering home games and team events for your respective club while you will be working at your home ballpark you will report to the marketing department in new york city

please send along your resume cover letter and a portfolio or instagram account showing off any sports photography or videography youve done in the past

responsibilities

 youll work with our social media editors and marketing department representatives based in new york city to create new and fresh content for our league and ","Computer Skills â¢ Holder of valid KSA license â¢ Basic Computer â¢ MS Office â¢ Autocad 2006Education Details 
January 2005 Diploma  Bengaluru, Karnataka Oxford polytechnic Banglore
Civil Engineer 

Civil Engineer - Utility powertech Ltd
Skill Details 
Company Details 
company - Utility powertech Ltd
description - 1. Project Name          Nabinagar thermal power
Project Aurangabad Bihar

Client	NTPC/BRBCL

Position          Civil Engineer
company - DAMMAM KSA
description - October 2008 to June 2011                                          AL NAFJAN & AL ABAD CO.

DAMMAM KSA
Position          Civil Engineer
Project Undertaken:
1. Project Name: STC & QATIF S/L project no 2065864
Client: Department of civil aviation
Main Contractor: Al Nafjan & Al Abad co.
Consultant: Arif & Kinfolk

2. Project Name: King Fahad International Airport
Client: Department of civil aviation
Main Contractor: Al Nafjan & Al Abad co.
Consultant: Dar-Al-Hadassah

Project Description: DPF have Eleven Buildings",27,18,9
92,It Systems Administrator Ii," corning credit union is seeking a systems administrator ii primarily responsible for ensuring the stable operation of the computer systems
 this includes planning developing installing configuring maintaining supporting and optimizing all server hardware software and network storage
 ability to selfmotive and selfdirect as necessaryeffective prioritization skills with the ability to execute tasks in a highpressure environment
 ability to excel in a teamoriented collaborative work environmenta bachelor s degree in computer science or related technical discipline preferred
 commensurate work experience will also be considered
 eoe mf disability protected veteran adp privacy policy  adp legal policy
 associated topics administrator equipment  infrastructure ip maintenance network router scom sccm tcp ip","TECHNICAL SKILL: Operating System LINUX, Windows Server 2012 R2, Windows 98, Windows 2000/ XP Tools & Utility Packages SQL* Loader, SQL*PLUS, OEM, Datapump, expdp/impdp, PLSQL Developer, Jenkins Database Oracle 10g, Oracle 11g, Oracle 12c Scripting UNIX Shell Scripting Language SQL Education Details 
January 2011 M.B.A.  Amravati, Maharashtra Amravati University
January 2007 B.C.A.  Nagpur, Maharashtra Nagpur University
Oracle Database Administrator 

ORACLE DATABASE ADMINISTRATOR ON LINUX/MICROSOFT WITH 4 YEARS EXPERIENCE.
Skill Details 
ORACLE- Exprience - 48 months
LINUX- Exprience - 6 months
ORACLE DBA- Exprience - Less than 1 year months
RAC- Exprience - Less than 1 year months
GOLDEN GATE- Exprience - Less than 1 year months
ASM- Exprience - Less than 1 year months
DATAGUARD- Exprience - Less than 1 year monthsCompany Details 
company - TIETO INDIA PVT. LTD
description - Pune From February 2015 till present

Project Profile:
Oil and Gas unit of Tieto India Pvt. Ltd. is working fo",32,25,7
93,Web Designer,"description

web designers looking to expand your professional reach welcome to robert half marketing  creative start the process with robert half today

we are searching for highly skilled web designers with experience working within corporate brand standards and guidelines the ideal candidates would have advanced skills in creating wireframes designing mobile applications landing pages interactive sites qa testing experience working with various interfaces and familiarity with uxui design principles candidates are expected to have strong skills in adobe photoshop illustrator and indesign any experience in html css and javascript is a major plus familiarity with content management systems is highly preferred

there is nothing more satisfying when looking for freelance and fulltime creative opportunities than working with someone who knows your area of expertise as industry professionals robert half marketing  creative is a team that puts your needs first and effectively represents you","â¢ Good communication skill â¢ Quick learner â¢ Keen to find solutionsEducation Details 
 MBA Marketing and International Business Management Pune, Maharashtra Pune University
 B-Tech Tech Nagpur, Maharashtra RTM Nagpur University
G.M. Arts, Commerce & Science 

G.M. Arts, Commerce & Science
Skill Details 
Company Details 
company - Samarth College
description - of Engineering        30          7        210 
5      College to campus             VJ College of Pharmacy         10 days' workshop       10

G.M. Arts, Commerce & Science 6          Soft Skills                                               6 days' workshop           6
College

Personality             G.M. Institute of Agricultural 7		6 days' workshop           6
Development                        Diploma 
8          Soft Skills           Samarth College of Polytechnic     20 days' workshop       20

TOTAL                                              350
WORKING EXPERIENCE IN CORPORATE:
Sr. No               Topic          ",33,30,3
94,Accounting Clerk,"a collective energy and ambition a place where you can make a real difference

were a company that genuinely cares about our people our products our consumers and the environment

our unique informal culture champions courage determination and collaboration knowing we have an open and supportive team means each of us has the freedom to take responsibility and ownership we have a shared passion to work hard innovate and push boundaries

united by the belief that when we strive for growth anything is possible while we might not be the largest company in our industry we believe we can have the biggest impact because together we have the power to win

major responsibilities
i periodic reporting and associated data files
a overfill report
b display report
c machine downtime report
d oee reporte maintain line efficiency charts for weekly operations summary
f line efficiency report
g maintain production files for weekly monthly  ytd reports
h changeover  washout cost  variance analysis
i mont","IT SKILLS Languages: C (Basic), JAVA (Basic) Web Technologies: HTML5, CSS3, Bootstrap, JavaScript, jQuery, Corel Draw, Photoshop, Illustrator Databases: MySQL5.0 IDE & Tools: Sublime Text, Notepad Operating Systems: Windows XP, Windows 7Education Details 
September 2015 Bachelor of Engineer Information technology Nagpur, Maharashtra Nagpur University
May 2011 HSC Secondary & Higher Secondary  State Board of Secondary
June 2009 SSC Secondary & Higher Secondary  Maharashtra State Board of Secondary
Web and Graphics Designer 

Web and Graphics Designer - Virtuous Media Point, Pune
Skill Details 
BOOTSTRAP- Exprience - 24 months
HTML5- Exprience - 24 months
JAVASCRIPT- Exprience - 24 months
jQuery- Exprience - 24 months
COREL DRAW- Exprience - 24 months
Adobe Photoshop- Exprience - 24 months
Adobe Illustrator- Exprience - 12 months
CSS3- Exprience - 24 monthsCompany Details 
company - Virtuous Media Point
description - 
company - CNC Web World
description - Internship Program: At e-sense I",33,36,3
